s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
480.0,903.0,4.0,0.59874,0.3365,0.25243,0.11984
500.0,1184.0,4.0,0.81043,0.15317,0.35619,0.18491
1529.0,331.0,4.0,0.30269,0.20176,0.16135,0.17145
1311.0,1031.0,4.0,0.84765,0.26218,0.26706,0.15185
872.0,124.0,4.0,0.38306,0.14102,0.22219,0.1209
1629.0,518.0,4.0,0.39331,0.26194,0.26217,0.21021
1834.0,1234.0,4.0,0.71661,0.23197,0.23196,0.20181
487.0,1215.0,4.0,0.90942,0.23506,0.37868,0.15947
1076.0,599.0,4.0,0.47381,0.17135,0.2599,0.13126
1105.0,1375.0,4.0,0.83934,0.16794,0.30874,0.24334
