s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
3697.0,764.0,6.0,0.96143,0.2625,0.41916,0.26331
597.0,3013.0,9.0,2.14852,0.35488,0.32838,0.18957
3220.0,2720.0,8.0,1.8456,0.36493,0.32149,0.33914
3786.0,2342.0,6.0,2.0277,0.7822,0.46367,0.24994
3066.0,2414.0,7.0,2.21701,0.34978,0.46676,0.21657
3367.0,1531.0,6.0,1.74178,0.37757,0.3974,0.24488
3641.0,96.0,7.0,1.0996,0.41687,0.3834,0.21623
2347.0,3447.0,6.0,1.33505,0.34854,0.38354,0.31934
499.0,2457.0,6.0,0.96392,0.33504,0.31611,0.27095
2896.0,1514.0,7.0,1.5639,0.35037,0.68297,0.25212
