s,t,tavolsag,dinic,BK,szintezo,modositott_dinic
146.0,111.0,2.0,0.10026,0.10072,0.05297,0.0642
146.0,151.0,2.0,0.13639,0.0999,0.04832,0.11703
260.0,229.0,2.0,0.31471,0.08491,0.16548,0.18279
151.0,66.0,2.0,0.21758,0.05014,0.06592,0.10716
111.0,66.0,2.0,0.14328,0.15832,0.09973,0.13322
111.0,200.0,2.0,0.25026,0.04983,0.08349,0.14971
181.0,117.0,2.0,0.0815,0.11653,0.0694,0.09991
229.0,111.0,2.0,0.16844,0.051,0.06375,0.06679
229.0,66.0,2.0,0.17126,0.08143,0.06955,0.09464
200.0,117.0,2.0,0.08665,0.07073,0.03159,0.05247
